slug,archivo_original,url_descarga
agayafinn,"FT- Agayafinn, 251022.01.pdf",pdfs/agayafinn.pdf
agricu-5,"FT- AgriCu5%, 251022.01.pdf",pdfs/agricu-5.pdf
agrimy-cu-100,"FT- Agrimycu 100, 041022.03.pdf",pdfs/agrimy-cu-100.pdf
agrimy-cu-500,"FT- Agrimycu 500, 041022.03.pdf",pdfs/agrimy-cu-500.pdf
aminofit-kborca,"FT- Aminofit KBorCa, 140623.02.pdf",pdfs/aminofit-kborca.pdf
aminofit-xtra,"FT- Aminofit Xtra, 290523.05.pdf",pdfs/aminofit-xtra.pdf
anibac-580,"FT- Anibac 580, 280125.05.pdf",pdfs/anibac-580.pdf
anibac-citrico,"FT- Anibac Cítrico, 280125.05.pdf",pdfs/anibac-citrico.pdf
anibac-plus,"FT- Anibac Plus, 261022.03.pdf",pdfs/anibac-plus.pdf
anibac-plus-v2,"FT-Anibac Plus, 270125.04.pdf",pdfs/anibac-plus-v2.pdf
aquackeck,"FT- Aquackeck, 050224.01.pdf",pdfs/aquackeck.pdf
ataque-sulfoamex,"FT- Ataque Sulfomex, 291025.03.pdf",pdfs/ataque-sulfoamex.pdf
bio-bacter,"FT- Bio-Bacter, 251022.01.pdf",pdfs/bio-bacter.pdf
bio-die,"FT- Bio-Die, 300925.10.pdf",pdfs/bio-die.pdf
bio-die-jardineria,"FT- Biodie, Jardinería, 290323.01.pdf",pdfs/bio-die-jardineria.pdf
bio-punch,"FT- Bio Punch, 261023.01.pdf",pdfs/bio-punch.pdf
bio-shot-jardineria,"FT- Bio Shot, Jardinería, 210423.01.pdf",pdfs/bio-shot-jardineria.pdf
bio-shot-usa,"FT- Bioshot USA, 20240321.01.pdf",pdfs/bio-shot-usa.pdf
bio-stick,"FT- Bio-Stick, 301024.07.pdf",pdfs/bio-stick.pdf
bio-urban-urbano,"FT- Bio Urban, Urbano, 210423.01.pdf",pdfs/bio-urban-urbano.pdf
biocinnamon-usa,"FT- Biocinnamon, USA, 20251127.01.pdf",pdfs/biocinnamon-usa.pdf
brasuma,"FT- Brasuma, 041124.03.pdf",pdfs/brasuma.pdf
citroil,"FT- Citroil, 040822.07.pdf",pdfs/citroil.pdf
contronat,"FT- Contronat, 20260224.02.pdf",pdfs/contronat.pdf
coraza-720-s,"FT- Coraza, 121022.03.pdf",pdfs/coraza-720-s.pdf
cu-back,"FT- Cu-Back, 131022.04.pdf",pdfs/cu-back.pdf
curistin,"FT- Curistin, 041022.03.pdf",pdfs/curistin.pdf
eco-urban-urbano,"FT- EcoUrban, Urbano, 170423.02.pdf",pdfs/eco-urban-urbano.pdf
fanato-lxx,"FT- Fanato, 250423.03.pdf",pdfs/fanato-lxx.pdf
isaria-javanica,"FT- Isaria javanica, 170624.06.pdf",pdfs/isaria-javanica.pdf
mexagral100,"FT- Mexagral 100, 251022.01.pdf",pdfs/mexagral100.pdf
molus-die,"FT- Molus Die, 250925.03.pdf",pdfs/molus-die.pdf
molus-die-guatemala,"FT- Molus Die, Guatemala, 110923.01.pdf",pdfs/molus-die-guatemala.pdf
natomaxx,"FT- Nato Maxx, 251022.01.pdf",pdfs/natomaxx.pdf
natuargem-supper,"FT- Natuargem Supper, 280922.01.pdf",pdfs/natuargem-supper.pdf
naturacide-gamma-jardineria,"FT- Naturacide Gamma, Jardineria, 170124.01.pdf",pdfs/naturacide-gamma-jardineria.pdf
naturacide-mega-jardineria,"FT- Naturacide Mega, Jardineria, 170124.01.pdf",pdfs/naturacide-mega-jardineria.pdf
naturacide-neem-ce-80-jardineria,"FT- Naturacide Neem 80, Jardineria, 170124.01.pdf",pdfs/naturacide-neem-ce-80-jardineria.pdf
naturacide-neemacar-jardineria,"FT- Naturacide Neemacar, Jardineria, 170124.01.pdf",pdfs/naturacide-neemacar-jardineria.pdf
naturacide-omega-jardineria,"FT- Naturacide Omega, Jardineria, 170124.01.pdf",pdfs/naturacide-omega-jardineria.pdf
natural-king,"FT- Natural King, 090925.03.pdf",pdfs/natural-king.pdf
nutripro-bio,"FT- Nutripro Bio, 20251031.03.pdf",pdfs/nutripro-bio.pdf
nutripro-bio-quitina,"FT- Nutripro-Bio Quitina, 20260226.01.pdf",pdfs/nutripro-bio-quitina.pdf
nutripro-brassinal,"FT- Nutripro Brassinal, 310326.03.pdf",pdfs/nutripro-brassinal.pdf
nutripro-cab,"FT- Nutripro CaB, 290125.04.pdf",pdfs/nutripro-cab.pdf
nutripro-energy,"FT- Nutripro Energy, 310326.03.pdf",pdfs/nutripro-energy.pdf
nutripro-forte,"FT- Nutripro Forte, 050623.05.pdf",pdfs/nutripro-forte.pdf
nutripro-kmg,"FT- Nutripro KMg, 150623.03.pdf",pdfs/nutripro-kmg.pdf
nutripro-mix,"FT- Nutripro Mix, 190623.02.pdf",pdfs/nutripro-mix.pdf
nutripro-trihormonal,"FT- Nutripro Trihormonal, 310326.04.pdf",pdfs/nutripro-trihormonal.pdf
nutripro-xtra-alga,"FT- Nutripro Xtra Alga, 290523.05.pdf",pdfs/nutripro-xtra-alga.pdf
pro-activ,"FT- Pro Activ, 202022.02.pdf",pdfs/pro-activ.pdf
pro-canela,"FT- Pro Canela, 070923.02.pdf",pdfs/pro-canela.pdf
probac-bs,"FT- Probac BS, 250822.02.pdf",pdfs/probac-bs.pdf
probac-bs-calidad,"FT- Probac BS, Calidad, 070823.01.pdf",pdfs/probac-bs-calidad.pdf
progranic-alfa,"FT- Progranic Alfa, 20260504.06.pdf",pdfs/progranic-alfa.pdf
progranic-cimax,"FT- Progranic Cimax, 121022.05.pdf",pdfs/progranic-cimax.pdf
progranic-cinnacar,"FT- Progranic Cinnacar, 130722.06.pdf",pdfs/progranic-cinnacar.pdf
progranic-cinnacar-jardineria,"FT- Progranic Cinnacar, Jardinería, 290323.03.pdf",pdfs/progranic-cinnacar-jardineria.pdf
progranic-cinnacar-urbano,"FT- Progranic Cinnacar, Urbano, 290323.03.pdf",pdfs/progranic-cinnacar-urbano.pdf
progranic-cinnacar-usa,"FT- Cinnacar USA, 20240321.03.pdf",pdfs/progranic-cinnacar-usa.pdf
progranic-citrus,"FT- Progranic Citrus, 120822.05.pdf",pdfs/progranic-citrus.pdf
progranic-delphinus,"FT- Progranic Delphinus, 051124.01.pdf",pdfs/progranic-delphinus.pdf
progranic-gamma,"FT- Progranic Gamma, 250925.09.pdf",pdfs/progranic-gamma.pdf
progranic-gamma-jardineria,"FT- Progranic Gamma, Jardinería, 290323.03.pdf",pdfs/progranic-gamma-jardineria.pdf
progranic-insect-out,"FT- Progranic Insect Out, 130325.05.pdf",pdfs/progranic-insect-out.pdf
progranic-insect-out-jardineria,"FT- Progranic Insect Out, Jardinería, 290323.01.pdf",pdfs/progranic-insect-out-jardineria.pdf
progranic-mega,"FT- Progranic Mega, 130924.11.pdf",pdfs/progranic-mega.pdf
progranic-mega-jardineria,"FT- Progranic Mega, Jardinería, 290323.02.pdf",pdfs/progranic-mega-jardineria.pdf
progranic-mix-top,"FT- Progranic Mix-Top, 120822.07.pdf",pdfs/progranic-mix-top.pdf
progranic-neemacar-ce,"FT- Progranic Neemacar, 180324.10.pdf",pdfs/progranic-neemacar-ce.pdf
progranic-neemacar-ce-jardineria,"FT- Progranic Neemacar, Jardinería, 290323.02.pdf",pdfs/progranic-neemacar-ce-jardineria.pdf
progranic-neemacar-ce-urbano,"FT- Progranic NeemAcar, Urbano, 110423.03.pdf",pdfs/progranic-neemacar-ce-urbano.pdf
progranic-nimicide-80,"FT- Progranic Nimicide, 120722.06.pdf",pdfs/progranic-nimicide-80.pdf
progranic-nimicide-80-jardineria,"FT- Progranic Nimicide, Jardinería, 290323.03.pdf",pdfs/progranic-nimicide-80-jardineria.pdf
progranic-nimicide-80-urbano,"FT- Progranic Nimicide, Urbano, 170423.04.pdf",pdfs/progranic-nimicide-80-urbano.pdf
progranic-oil-premium,"FT- Progranic Oil Premium, 280723.05.pdf",pdfs/progranic-oil-premium.pdf
progranic-omega,"FT- Progranic Omega, 130722.05.pdf",pdfs/progranic-omega.pdf
progranic-omega-jardineria,"FT- Progranic Omega, Jardinería, 290323.02.pdf",pdfs/progranic-omega-jardineria.pdf
progranic-piretro,"FT- Progranic Piretro, 100425.11.pdf",pdfs/progranic-piretro.pdf
progreen-jardineria,"FT- Progreen, Jardinería, 270223.01.pdf",pdfs/progreen-jardineria.pdf
progreen-nema-die,"FT- Progreen Nema-Die, 110822.02.pdf",pdfs/progreen-nema-die.pdf
progrow-20npk,"FT- Progrow 20 NPK, 160525.01.pdf",pdfs/progrow-20npk.pdf
progrow-500-f,"FT- Progrow 500 F, 131022.02.pdf",pdfs/progrow-500-f.pdf
progrow-activador,"FT- Progrow Activador, 040925.03.pdf",pdfs/progrow-activador.pdf
progrow-enraizador,"FT- Progrow Enraizador, 230523.02.pdf",pdfs/progrow-enraizador.pdf
progrow-p37,"FT- Progrow P37, 160525.01.pdf",pdfs/progrow-p37.pdf
progrow-zn-especial,"FT- Progrow ZN Especial, 160525.01.pdf",pdfs/progrow-zn-especial.pdf
prolux,"FT- Prolux, 280723.06.pdf",pdfs/prolux.pdf
prolux-adherente,"FT- Prolux Adherente, 280723.06.pdf",pdfs/prolux-adherente.pdf
prolux-adherente-eco,"FT- Prolux Adherente ECO, 20260226.01.pdf",pdfs/prolux-adherente-eco.pdf
prolux-plus-ph,"FT- Prolux Plus pH, 280723.06.pdf",pdfs/prolux-plus-ph.pdf
prolux-ultra,"FT- Prolux Ultra, 250723.07.pdf",pdfs/prolux-ultra.pdf
prolux-vulcano,"FT- Prolux Vulcano, 20260415.01.pdf",pdfs/prolux-vulcano.pdf
promyl,"FT- Promyl, 061022.04.pdf",pdfs/promyl.pdf
prontius,"FT- Prontius, 260822.04.pdf",pdfs/prontius.pdf
prontius-500-sc,"FT- Prontius 500 SC, 010922.03.pdf",pdfs/prontius-500-sc.pdf
prontius-achc,"FT- Prontius ACHC, 20260304.02.pdf",pdfs/prontius-achc.pdf
prontius-ca,"FT- Prontius CA, 030223.01.pdf",pdfs/prontius-ca.pdf
prontius-io,"FT- Prontius IO, 20260424.04.pdf",pdfs/prontius-io.pdf
prontius-mg,"FT- Prontius MG, 030223.01.pdf",pdfs/prontius-mg.pdf
prontius-ni,"FT- Prontius NI, 040223.01.pdf",pdfs/prontius-ni.pdf
